language	village	label	dialect	lat	lon	inhabitants	census	source	checked
Andi	Zilo	Zilo	upper	42.73167	46.31861	1214	2017	https://ru.wikipedia.org/wiki/+ACU-D0+ACU-97+ACU-D0+ACU-B8+ACU-D0+ACU-BB+ACU-D0+ACU-BE	18.05.2018
Andi	Gagatli	Gagatli	upper	42.7973833	46.2906139	3699	2017	https://ru.wikipedia.org/wiki/+ACU-D0+ACU-93+ACU-D0+ACU-B0+ACU-D0+ACU-B3+ACU-D0+ACU-B0+ACU-D1+ACU-82+ACU-D0+ACU-BB+ACU-D0+ACU-B8	18.05.2018
Andi	Andi	Andi	upper	42.78333	46.25	5591	2010	https://ru.wikipedia.org/wiki/+ACU-D0+ACU-90+ACU-D0+ACU-BD+ACU-D0+ACU-B4+ACU-D0+ACU-B8	18.05.2018
Andi	Gunkha	Gunkha	upper	42.78972	46.28167	128	2010	https://ru.wikipedia.org/wiki/+ACU-D0+ACU-93+ACU-D1+ACU-83+ACU-D0+ACU-BD+ACU-D1+ACU-85+ACU-D0+ACU-B0	18.05.2018
Andi	Chanko	Chanko	upper	42.71833	46.24528	488	2010	https://ru.wikipedia.org/wiki/+ACU-D0+ACU-A7+ACU-D0+ACU-B0+ACU-D0+ACU-BD+ACU-D0+ACU-BA+ACU-D0+ACU-BE+AF8-(+ACU-D0+ACU-94+ACU-D0+ACU-B0+ACU-D0+ACU-B3+ACU-D0+ACU-B5+ACU-D1+ACU-81+ACU-D1+ACU-82+ACU-D0+ACU-B0+ACU-D0+ACU-BD)	18.05.2018
Andi	Rikvani	Rikvani	upper	42.78139	46.31528	770	2010	https://ru.wikipedia.org/wiki/+ACU-D0+ACU-A0+ACU-D0+ACU-B8+ACU-D0+ACU-BA+ACU-D0+ACU-B2+ACU-D0+ACU-B0+ACU-D0+ACU-BD+ACU-D0+ACU-B8	18.05.2018
Andi	Ashali	Ashali	upper	42.76806	46.3075	791	2017	https://ru.wikipedia.org/wiki/+ACU-D0+ACU-90+ACU-D1+ACU-88+ACU-D0+ACU-B0+ACU-D0+ACU-BB+ACU-D0+ACU-B8	18.05.2018
Andi	Muni	Muni	lower	42.68333	46.31028	3220	2010	https://ru.wikipedia.org/wiki/+ACU-D0+ACU-9C+ACU-D1+ACU-83+ACU-D0+ACU-BD+ACU-D0+ACU-B8+AF8-(+ACU-D1+ACU-81+ACU-D0+ACU-B5+ACU-D0+ACU-BB+ACU-D0+ACU-BE)	18.05.2018
Andi	Kwankhidatli	Kwankhidatli	lower	42.65472	46.26	901	2017	https://ru.wikipedia.org/wiki/+ACU-D0+ACU-9A+ACU-D0+ACU-B2+ACU-D0+ACU-B0+ACU-D0+ACU-BD+ACU-D1+ACU-85+ACU-D0+ACU-B8+ACU-D0+ACU-B4+ACU-D0+ACU-B0+ACU-D1+ACU-82+ACU-D0+ACU-BB+ACU-D0+ACU-B8	18.05.2018
Andi	Aytkhan	 	x	43.69773	46.82498	0	2010	https://ru.wikipedia.org/wiki/+ACU-D0+ACU-90+ACU-D0+ACU-B9+ACU-D1+ACU-82+ACU-D1+ACU-85+ACU-D0+ACU-B0+ACU-D0+ACU-BD	18.05.2018
Andi	Dzhugut	 	x	43.70835	46.86498	407	2010	https://ru.wikipedia.org/wiki/+ACU-D0+ACU-94+ACU-D0+ACU-B6+ACU-D1+ACU-83+ACU-D0+ACU-B3+ACU-D1+ACU-83+ACU-D1+ACU-82	18.05.2018
Andi	Khando	 	x	42.72694	46.23361	33	2010	https://ru.wikipedia.org/wiki/+ACU-D0+ACU-A5+ACU-D0+ACU-B0+ACU-D0+ACU-BD+ACU-D0+ACU-B4+ACU-D0+ACU-BE+AF8-(+ACU-D0+ACU-94+ACU-D0+ACU-B0+ACU-D0+ACU-B3+ACU-D0+ACU-B5+ACU-D1+ACU-81+ACU-D1+ACU-82+ACU-D0+ACU-B0+ACU-D0+ACU-BD)	18.05.2018
Andi	Mekheturi	 	x	42.70556	46.2375	16	2008	https://ru.wikipedia.org/wiki/+ACU-D0+ACU-9C+ACU-D0+ACU-B5+ACU-D1+ACU-85+ACU-D0+ACU-B5+ACU-D1+ACU-82+ACU-D1+ACU-83+ACU-D1+ACU-80+ACU-D0+ACU-B8	18.05.2018
Andi	Novogagatli	 	x	43.4561	46.4819	5493	2017	https://ru.wikipedia.org/wiki/+ACU-D0+ACU-9D+ACU-D0+ACU-BE+ACU-D0+ACU-B2+ACU-D0+ACU-BE+ACU-D0+ACU-B3+ACU-D0+ACU-B0+ACU-D0+ACU-B3+ACU-D0+ACU-B0+ACU-D1+ACU-82+ACU-D0+ACU-BB+ACU-D0+ACU-B8	18.05.2018
Andi	Rushukha	 	x	42.71509	46.28112	57	2010	https://ru.wikipedia.org/wiki/+ACU-D0+ACU-A0+ACU-D1+ACU-83+ACU-D1+ACU-88+ACU-D1+ACU-83+ACU-D1+ACU-85+ACU-D0+ACU-B0	18.05.2018
Andi	Shivor	 	x	42.714662	46.256637	85	2010	https://ru.wikipedia.org/wiki/+ACU-D0+ACU-A8+ACU-D0+ACU-B8+ACU-D0+ACU-B2+ACU-D0+ACU-BE+ACU-D1+ACU-80	18.05.2018
Andi	Tsibilta	 	x	42.74322	46.24311	46	2010	https://ru.wikipedia.org/wiki/+ACU-D0+ACU-A6+ACU-D0+ACU-B8+ACU-D0+ACU-B1+ACU-D0+ACU-B8+ACU-D0+ACU-BB+ACU-D1+ACU-82+ACU-D0+ACU-B0	18.05.2018
